Customer_ID,Age,Gender,Location,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,Intent,Time_of_Day,Device_Type,Browsing_History,Weather,Purchase_History,Social_Media_Activity,Device_Engagement_Level,Sentiment_Analysis,Brand_Affinities,Survey_Responses,Preferred_Product_Category,Session Duration (Seconds),Scroll Depth (%),Ad Interaction History,Subscription Status,Users Risk Tolerance,Decision Making Speed,Marital / Relationship Status,Family Size,Friends Referrals & Social Influence,Local Events/Trends,Purchase Timing Patterns,Household Income Patterns
1,25,F,New York,"Electronics, Clothing",Credit Card,Weekly,Positive,Evening,Mobile,"Tech blogs, Fashion sites",Sunny,"Electronics, Clothing",High,Medium,Positive,"Apple, Nike","Tech-savvy, Trendy","Toys, Games",495,49,Skipped,Subscribed,High,Moderate,Divorced,1,9,Sports Event,Late Night,Affluent
2,30,M,Los Angeles,"Groceries, Household Items",PayPal,Monthly,Negative,Afternoon,Laptop,"Recipe sites, News",Cloudy,"Groceries, Household Items",Medium,High,Neutral,"Whole Foods, Target","Eco-conscious, Family-oriented","Apparel, accessories",321,23,Ignored,Free User,Low,Moderate,Divorced,4,5,None,Holiday Evening,High
3,22,F,Chicago,"Fashion, Beauty",Debit Card,Daily,Positive,Morning,Mobile,"Beauty tutorials, Social media",Rainy,"Fashion, Beauty",High,High,Excited,"Sephora, Zara","Fashion-forward, Beauty enthusiast",Home Goods,628,35,Clicked,Free User,Low,Moderate,Single,5,13,Concert,Holiday Evening,High
4,35,M,Houston,"Sports Gear, Supplements",Credit Card,Weekly,Positive,Evening,Tablet,"Fitness forums, Health blogs",Sunny,"Sports Gear, Supplements",Low,Medium,Motivated,"Adidas, GNC","Fitness-focused, Health-conscious",Electronics,668,92,Clicked,Subscribed,Medium,Slow,Widowed,5,9,Festival,Evening,High
5,28,F,Miami,"Travel, Dining",Apple Pay,Monthly,Negative,Night,Mobile,"Travel vlogs, Food blogs",Windy,"Travel, Dining",Medium,Low,Relaxed,"Expedia, Uber Eats","Adventurous, Foodie",Auto Care,673,28,Ignored,Premium Member,Medium,Moderate,Widowed,2,12,Sports Event,Morning,High
6,40,M,Seattle,"Books, Electronics",Credit Card,Weekly,Positive,Morning,Laptop,"Book reviews, Tech news",Rainy,"Books, Electronics",Medium,High,Curious,"Amazon, Barnes & Noble","Avid reader, Tech enthusiast","Books, media",98,26,Skipped,Free User,Medium,Fast,Single,4,14,None,Afternoon,High
7,33,F,San Francisco,"Fitness Equipment, Apparel",Debit Card,Monthly,Positive,Afternoon,Mobile,"Workout videos, Health forums",Foggy,"Fitness Equipment, Apparel",High,Medium,Inspired,"Lululemon, Peloton","Health-conscious, Active lifestyle","Beauty, Haircut",771,84,Viewed,Premium Member,High,Fast,Single,3,0,Sports Event,Holiday Evening,Low
8,27,M,Austin,"Gaming Consoles, Accessories",PayPal,Weekly,Positive,Evening,PC,"Gaming forums, Streaming sites",Clear,"Gaming Consoles, Accessories",High,High,Excited,"Sony, Microsoft","Gamer, Tech-savvy",Travel,512,25,Skipped,Premium Member,High,Fast,Divorced,4,19,Community Gathering,Weekend Afternoon,Low
9,45,F,Boston,"Home Decor, Kitchenware",Credit Card,Monthly,Negative,Morning,Tablet,"DIY blogs, Recipe sites",Snowy,"Home Decor, Kitchenware",Medium,Medium,Content,"IKEA, Williams Sonoma","Home chef, Interior decorator",Restaurant,123,44,Clicked,Premium Member,Medium,Fast,Divorced,2,18,Concert,Holiday Afternoon,Affluent
10,31,M,Denver,"Outdoor Gear, Apparel",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Hiking forums, Adventure blogs",Sunny,"Outdoor Gear, Apparel",High,High,Adventurous,"Patagonia, REI","Outdoor enthusiast, Nature lover",Groceries,646,46,Viewed,Unsubscribed,Low,Moderate,Divorced,4,18,Community Gathering,Holiday Morning,Affluent
11,29,F,Portland,"Sustainable Products, Vegan Foods",Debit Card,Weekly,Positive,Morning,Mobile,"Eco blogs, Vegan recipes",Cloudy,"Sustainable Products, Vegan Foods",High,High,Passionate,"Etsy, Whole Foods","Sustainability advocate, Vegan lifestyle",Furniture,414,52,Ignored,Free User,Medium,Slow,Divorced,5,11,None,Weekend Afternoon,Affluent
12,37,M,San Diego,"Tech Gadgets, Tools",Credit Card,Monthly,Positive,Evening,Laptop,"Tech news, DIY forums",Clear,"Tech Gadgets, Tools",Medium,High,Innovative,"Apple, Bosch","Tech enthusiast, DIY lover",Pharmaceutical,814,85,Ignored,Free User,Low,Fast,Married,2,15,Sports Event,Holiday Afternoon,Affluent
13,26,F,Atlanta,"Cosmetics, Fashion",PayPal,Weekly,Positive,Afternoon,Mobile,"Makeup tutorials, Fashion blogs",Sunny,"Cosmetics, Fashion",High,High,Confident,"MAC, Gucci","Fashionista, Beauty expert","Toys, Games",113,33,Skipped,Unsubscribed,Medium,Fast,Married,3,3,Sports Event,Weekend Afternoon,High
14,42,M,Dallas,"Cars, Car Accessories",Credit Card,Monthly,Negative,Morning,Tablet,"Car forums, News sites",Windy,"Cars, Car Accessories",Medium,Medium,Serious,"Ford, Michelin","Car enthusiast, Practical thinker","Apparel, accessories",411,65,Ignored,Premium Member,High,Fast,Divorced,1,9,Community Gathering,Holiday Morning,High
15,34,F,Philadelphia,"Books, Stationery",Apple Pay,Weekly,Positive,Evening,Mobile,"Book clubs, Writing forums",Rainy,"Books, Stationery",High,High,Thoughtful,"Penguin, Moleskine","Avid reader, Creative writer",Home Goods,36,50,Ignored,Free User,Medium,Fast,Widowed,5,10,Community Gathering,Late Night,Low
16,50,M,Las Vegas,"Luxury Items, Watches",Credit Card,Monthly,Positive,Afternoon,Laptop,"Luxury blogs, Investment forums",Sunny,"Luxury Items, Watches",Medium,High,Sophisticated,"Rolex, Gucci","Luxury lover, Investor",,438,47,Clicked,Unsubscribed,High,Slow,Single,5,10,Festival,Late Night,Low
17,23,F,Orlando,"Concert Tickets, Merchandise",PayPal,Weekly,Positive,Evening,Mobile,"Music forums, Fan pages",Clear,"Concert Tickets, Merchandise",High,High,Excited,"Live Nation, Spotify","Music fan, Event-goer",Auto Care,549,19,Clicked,Subscribed,Medium,Moderate,In a Relationship,4,12,None,Late Night,Low
18,39,M,Phoenix,"Outdoor Gear, Camping Supplies",Debit Card,Monthly,Positive,Morning,Tablet,"Camping forums, Adventure blogs",Sunny,"Outdoor Gear, Camping Supplies",Medium,High,Adventurous,"REI, North Face","Outdoor explorer, Nature lover","Books, media",881,87,Skipped,Premium Member,Low,Moderate,Single,3,10,Concert,Holiday Morning,Middle
19,31,F,Detroit,"Handmade Crafts, Vintage Items",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Craft blogs, DIY videos",Cloudy,"Handmade Crafts, Vintage Items",High,High,Creative,"Etsy, Anthropologie","Craft lover, Vintage enthusiast","Beauty, Haircut",440,30,Viewed,Free User,High,Moderate,In a Relationship,2,4,Festival,Holiday Afternoon,Middle
20,46,M,Minneapolis,"Winter Gear, Hot Drinks",Credit Card,Monthly,Negative,Morning,Laptop,"Weather sites, Coffee blogs",Snowy,"Winter Gear, Hot Drinks",Medium,Medium,Cozy,"Columbia, Starbucks","Winter enthusiast, Coffee lover",Finane,458,22,Clicked,Premium Member,High,Slow,In a Relationship,2,18,Festival,Weekend Morning,Low
21,24,F,New York,"Books, Electronics",Credit Card,Weekly,Positive,Evening,Mobile,"Book blogs, Tech forums",Sunny,"Books, Electronics",High,Medium,Positive,"Amazon, Apple","Tech-savvy, Avid reader","Toys, Games",88,50,Skipped,Subscribed,Low,Slow,Widowed,1,19,Concert,Holiday Late Night,Low
22,35,M,Los Angeles,"Fitness Gear, Apparel",PayPal,Monthly,Neutral,Afternoon,Laptop,"Workout forums, Health sites",Cloudy,"Fitness Gear, Apparel",Medium,High,Content,"Nike, Adidas","Health-conscious, Active lifestyle","Apparel, accessories",494,92,Clicked,Premium Member,Low,Moderate,Widowed,1,18,Concert,Evening,Middle
23,29,F,Chicago,"Groceries, Household Items",Debit Card,Daily,Positive,Morning,Mobile,"Recipe blogs, DIY sites",Rainy,"Groceries, Household Items",High,High,Excited,"Whole Foods, Target","Eco-conscious, Home cook",Home Goods,206,97,Skipped,Premium Member,Medium,Slow,Divorced,4,18,Concert,Holiday Morning,Low
24,40,M,Houston,"Tech Gadgets, Tools",Credit Card,Weekly,Positive,Evening,Tablet,"Tech blogs, DIY forums",Sunny,"Tech Gadgets, Tools",Low,Medium,Curious,"Apple, Bosch","Tech enthusiast, DIY lover",Electronics,183,89,Ignored,Premium Member,High,Slow,Widowed,4,12,Festival,Morning,Affluent
25,26,F,Miami,"Fashion, Beauty",Apple Pay,Monthly,Negative,Night,Mobile,"Fashion blogs, Makeup tutorials",Windy,"Fashion, Beauty",Medium,Low,Relaxed,"Sephora, Zara","Fashion-forward, Beauty enthusiast",Furniture,195,25,Ignored,Subscribed,Medium,Moderate,Widowed,3,8,Community Gathering,Afternoon,Affluent
26,45,M,Seattle,"Outdoor Gear, Camping Supplies",Credit Card,Weekly,Positive,Morning,Laptop,"Camping forums, Adventure blogs",Rainy,"Outdoor Gear, Camping Supplies",Medium,High,Adventurous,"REI, North Face","Outdoor explorer, Nature lover","Books, media",896,84,Viewed,Unsubscribed,High,Slow,Widowed,1,5,Concert,Holiday Afternoon,Middle
27,33,F,San Francisco,"Concert Tickets, Merchandise",Debit Card,Monthly,Positive,Afternoon,Mobile,"Music forums, Fan pages",Foggy,"Concert Tickets, Merchandise",High,Medium,Inspired,"Live Nation, Spotify","Music fan, Event-goer","Beauty, Haircut",744,40,Viewed,Unsubscribed,Medium,Slow,Married,1,2,None,Late Night,High
28,27,M,Austin,"Gaming Consoles, Accessories",PayPal,Weekly,Positive,Evening,PC,"Gaming forums, Streaming sites",Clear,"Gaming Consoles, Accessories",High,High,Excited,"Sony, Microsoft","Gamer, Tech-savvy",Travel,321,85,Skipped,Free User,High,Slow,Single,2,8,None,Afternoon,Affluent
29,50,F,Boston,"Home Decor, Kitchenware",Credit Card,Monthly,Negative,Morning,Tablet,"DIY blogs, Recipe sites",Snowy,"Home Decor, Kitchenware",Medium,Medium,Content,"IKEA, Williams Sonoma","Home chef, Interior decorator",Restaurant,518,58,Skipped,Free User,Medium,Slow,Single,1,13,Community Gathering,Holiday Late Night,Low
30,31,M,Denver,"Outdoor Gear, Apparel",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Hiking forums, Adventure blogs",Sunny,"Outdoor Gear, Apparel",High,High,Adventurous,"Patagonia, REI","Outdoor enthusiast, Nature lover",Groceries,387,72,Clicked,Unsubscribed,Low,Moderate,Divorced,1,3,Community Gathering,Afternoon,Middle
31,22,F,New York,"Makeup, Skincare",Credit Card,Weekly,Positive,Evening,Mobile,"Beauty tutorials, Instagram",Sunny,"Makeup, Skincare",High,Medium,Optimistic,"Fenty, Glossier","Trendsetter, Beauty enthusiast",Electronics,896,37,Ignored,Premium Member,Low,Slow,Divorced,1,13,None,Weekend Afternoon,Affluent
32,38,M,San Jose,"Smart Home Devices, Electronics",PayPal,Monthly,Neutral,Afternoon,Laptop,"Tech news, Home automation",Cloudy,"Smart Home Devices, Electronics",Medium,High,Inquisitive,"Google, Amazon","Tech guru, Early adopter",Home Goods,152,60,Viewed,Unsubscribed,High,Fast,In a Relationship,3,11,None,Evening,Middle
33,27,F,Charlotte,"Fitness Apparel, Yoga Mats",Debit Card,Daily,Positive,Morning,Mobile,"Yoga blogs, Wellness podcasts",Rainy,"Fitness Apparel, Yoga Mats",High,High,Motivated,"Lululemon, Alo Yoga","Wellness advocate, Yoga lover","Books, media",97,56,Ignored,Subscribed,Medium,Fast,In a Relationship,2,15,Community Gathering,Holiday Late Night,Affluent
34,42,M,Columbus,"Home Improvement Tools, Paint",Credit Card,Weekly,Positive,Evening,Tablet,"DIY forums, Home blogs",Sunny,"Home Improvement Tools, Paint",Low,Medium,Determined,"Home Depot, Lowe's","DIY enthusiast, Home renovator",Restaurant,372,20,Ignored,Premium Member,High,Fast,In a Relationship,1,7,Community Gathering,Holiday Afternoon,High
35,25,F,Nashville,"Concert Tickets, Music Gear",Apple Pay,Monthly,Negative,Night,Mobile,"Concert vlogs, Music blogs",Windy,"Concert Tickets, Music Gear",Medium,Low,Relaxed,"Live Nation, Fender","Music lover, Concert goer","Apparel, accessories",325,66,Clicked,Unsubscribed,High,Slow,In a Relationship,5,14,Festival,Weekend Afternoon,High
21,24,F,New York,"Books, Electronics",Credit Card,Weekly,Positive,Evening,Mobile,"Book blogs, Tech forums",Sunny,"Books, Electronics",High,Medium,Positive,"Amazon, Apple","Tech-savvy, Avid reader","Toys, Games",188,86,Skipped,Premium Member,High,Moderate,Single,1,13,Festival,Holiday Morning,Affluent
22,35,M,Los Angeles,"Fitness Gear, Apparel",PayPal,Monthly,Neutral,Afternoon,Laptop,"Workout forums, Health sites",Cloudy,"Fitness Gear, Apparel",Medium,High,Content,"Nike, Adidas","Health-conscious, Active lifestyle","Apparel, accessories",88,58,Ignored,Unsubscribed,Low,Moderate,Divorced,1,4,Community Gathering,Weekend Evening,Low
23,29,F,Chicago,"Groceries, Household Items",Debit Card,Daily,Positive,Morning,Mobile,"Recipe blogs, DIY sites",Rainy,"Groceries, Household Items",High,High,Excited,"Whole Foods, Target","Eco-conscious, Home cook",Home Goods,635,20,Clicked,Unsubscribed,Low,Moderate,Married,4,13,Concert,Holiday Afternoon,Low
24,40,M,Houston,"Tech Gadgets, Tools",Credit Card,Weekly,Positive,Evening,Tablet,"Tech blogs, DIY forums",Sunny,"Tech Gadgets, Tools",Low,Medium,Curious,"Apple, Bosch","Tech enthusiast, DIY lover",Electronics,203,18,Clicked,Free User,Medium,Fast,Divorced,4,0,None,Weekend Afternoon,Affluent
25,26,F,Miami,"Fashion, Beauty",Apple Pay,Monthly,Negative,Night,Mobile,"Fashion blogs, Makeup tutorials",Windy,"Fashion, Beauty",Medium,Low,Relaxed,"Sephora, Zara","Fashion-forward, Beauty enthusiast",Auto Care,553,25,Viewed,Premium Member,Medium,Slow,Divorced,2,1,Community Gathering,Weekend Late Night,Middle
26,45,M,Seattle,"Outdoor Gear, Camping Supplies",Credit Card,Weekly,Positive,Morning,Laptop,"Camping forums, Adventure blogs",Rainy,"Outdoor Gear, Camping Supplies",Medium,High,Adventurous,"REI, North Face","Outdoor explorer, Nature lover","Books, media",333,16,Ignored,Unsubscribed,Medium,Moderate,In a Relationship,3,12,Sports Event,Morning,Low
27,33,F,San Francisco,"Concert Tickets, Merchandise",Debit Card,Monthly,Positive,Afternoon,Mobile,"Music forums, Fan pages",Foggy,"Concert Tickets, Merchandise",High,Medium,Inspired,"Live Nation, Spotify","Music fan, Event-goer","Beauty, Haircut",623,42,Viewed,Subscribed,High,Slow,Divorced,5,15,Sports Event,Holiday Morning,Affluent
28,27,M,Austin,"Gaming Consoles, Accessories",PayPal,Weekly,Positive,Evening,PC,"Gaming forums, Streaming sites",Clear,"Gaming Consoles, Accessories",High,High,Excited,"Sony, Microsoft","Gamer, Tech-savvy",Travel,819,98,Ignored,Free User,High,Slow,Single,3,2,Festival,Late Night,Middle
29,50,F,Boston,"Home Decor, Kitchenware",Credit Card,Monthly,Negative,Morning,Tablet,"DIY blogs, Recipe sites",Snowy,"Home Decor, Kitchenware",Medium,Medium,Content,"IKEA, Williams Sonoma","Home chef, Interior decorator",Fragrances,258,42,Skipped,Premium Member,Medium,Moderate,Single,1,9,Concert,Holiday Evening,Middle
30,31,M,Denver,"Outdoor Gear, Apparel",Apple Pay,Weekly,Positive,Afternoon,Mobile,"Hiking forums, Adventure blogs",Sunny,"Outdoor Gear, Apparel",High,High,Adventurous,"Patagonia, REI","Outdoor enthusiast, Nature lover",Groceries,55,98,Ignored,Premium Member,Low,Fast,Divorced,4,8,Festival,Afternoon,Affluent
31,22,F,New York,"Makeup, Skincare",Credit Card,Weekly,Positive,Evening,Mobile,"Beauty tutorials, Instagram",Sunny,"Makeup, Skincare",High,Medium,Optimistic,"Fenty, Glossier","Trendsetter, Beauty enthusiast",Electronics,473,76,Ignored,Premium Member,Low,Fast,Married,5,11,None,Weekend Evening,Low
32,38,M,San Jose,"Smart Home Devices, Electronics",PayPal,Monthly,Neutral,Afternoon,Laptop,"Tech news, Home automation",Cloudy,"Smart Home Devices, Electronics",Medium,High,Inquisitive,"Google, Amazon","Tech guru, Early adopter",Home Goods,707,17,Clicked,Unsubscribed,Low,Moderate,Divorced,2,1,Community Gathering,Weekend Morning,Low
33,27,F,Charlotte,"Fitness Apparel, Yoga Mats",Debit Card,Daily,Positive,Morning,Mobile,"Yoga blogs, Wellness podcasts",Rainy,"Fitness Apparel, Yoga Mats",High,High,Motivated,"Lululemon, Alo Yoga","Wellness advocate, Yoga lover","Books, media",669,22,Ignored,Unsubscribed,Low,Slow,In a Relationship,2,1,Concert,Holiday Evening,High
